Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
370.96,1122.09,134.948,376.916,1085.52,135.017,362.413,1065.24,122.228,377.017,1122.92,99.8358
370.963,1122.09,134.931,376.912,1085.51,135.013,362.414,1065.26,122.217,376.97,1122.87,99.8329
370.949,1122.08,134.945,376.921,1085.52,135.015,362.416,1065.23,122.231,376.968,1122.87,99.8377
370.963,1122.08,134.92,376.903,1085.52,135.014,362.409,1065.23,122.218,377.021,1122.93,99.8317
370.968,1122.08,134.915,376.91,1085.54,134.993,362.424,1065.25,122.217,377.023,1122.92,99.8224
370.944,1122.07,134.948,376.925,1085.5,135.006,362.409,1065.24,122.234,376.972,1122.86,99.8093
370.963,1122.08,134.941,376.9,1085.53,135.003,362.414,1065.24,122.22,377.021,1122.91,99.8016
370.954,1122.08,134.914,376.86,1085.48,135.007,362.402,1065.23,122.223,376.979,1122.86,99.8006
370.942,1122.08,134.926,376.887,1085.52,135.034,362.399,1065.23,122.232,376.98,1122.86,99.8
370.95,1122.07,134.928,376.88,1085.51,135.028,362.411,1065.24,122.22,377.015,1122.91,99.8059
370.962,1122.09,134.925,376.906,1085.5,135.008,362.411,1065.22,122.227,376.982,1122.85,99.7872
370.934,1122.07,134.939,376.878,1085.51,135.022,362.382,1065.24,122.226,376.982,1122.86,99.7905
370.936,1122.08,134.942,376.889,1085.52,135.013,362.395,1065.22,122.23,376.985,1122.86,99.7869
370.958,1122.08,134.935,376.888,1085.52,135.024,362.405,1065.23,122.229,376.97,1122.86,99.7958
370.933,1122.07,134.943,376.902,1085.5,135.014,362.401,1065.24,122.215,377.015,1122.91,99.7864
370.933,1122.09,134.951,376.886,1085.5,135.021,362.408,1065.24,122.225,376.974,1122.87,99.8153
370.931,1122.05,134.92,376.882,1085.5,135.019,362.403,1065.22,122.229,377.016,1122.92,99.8068
370.946,1122.08,134.921,376.889,1085.53,135.017,362.402,1065.23,122.23,376.979,1122.86,99.7882
370.923,1122.09,134.953,376.895,1085.54,135.017,362.394,1065.23,122.226,377.02,1122.91,99.8011
370.945,1122.07,134.924,376.909,1085.51,135.011,362.412,1065.25,122.217,377.022,1122.91,99.8038
370.945,1122.09,134.935,376.894,1085.51,134.996,362.411,1065.24,122.229,376.977,1122.86,99.7868
370.935,1122.09,134.939,376.909,1085.5,135.01,362.399,1065.23,122.234,376.974,1122.87,99.806
370.939,1122.08,134.933,376.896,1085.51,135.019,362.374,1065.24,122.23,376.974,1122.87,99.7994
370.953,1122.08,134.937,376.915,1085.52,135.011,362.395,1065.23,122.232,376.974,1122.87,99.796
370.931,1122.09,134.942,376.902,1085.52,135.013,362.409,1065.23,122.233,376.929,1122.86,99.9037
370.956,1122.08,134.947,376.895,1085.52,135.014,362.412,1065.24,122.231,377.018,1122.91,99.8309
370.959,1122.08,134.932,376.895,1085.52,135.008,362.403,1065.24,122.227,377.005,1122.92,99.8451
370.962,1122.09,134.947,376.895,1085.51,135.011,362.407,1065.23,122.236,376.965,1122.88,99.8501
370.946,1122.06,134.915,376.921,1085.54,134.994,362.42,1065.24,122.231,376.951,1122.87,99.8487
370.952,1122.1,134.945,376.9,1085.54,135.013,362.415,1065.24,122.228,376.963,1122.86,99.847
370.973,1122.09,134.935,376.91,1085.53,135.019,362.384,1065.24,122.241,377.014,1122.93,99.8436
370.955,1122.11,134.949,376.915,1085.53,135.013,362.406,1065.26,122.203,376.973,1122.87,99.831
370.984,1122.09,134.906,376.909,1085.56,134.986,362.409,1065.24,122.231,376.973,1122.87,99.8221
370.968,1122.09,134.941,376.921,1085.53,135.003,362.394,1065.25,122.232,376.973,1122.87,99.8195
370.944,1122.08,134.924,376.928,1085.55,135.005,362.436,1065.25,122.226,376.972,1122.87,99.811
370.934,1122.09,134.944,376.922,1085.53,135.019,362.414,1065.25,122.225,376.98,1122.88,99.8075
370.979,1122.09,134.93,376.907,1085.54,135.024,362.402,1065.25,122.222,377.005,1122.88,99.7994
370.975,1122.1,134.938,376.921,1085.53,135.018,362.4,1065.25,122.224,376.992,1122.87,99.8004
370.976,1122.09,134.931,376.911,1085.53,135.009,362.41,1065.25,122.228,376.988,1122.87,99.7848
370.962,1122.08,134.925,376.921,1085.48,134.965,362.415,1065.25,122.242,376.988,1122.87,99.7942
370.962,1122.09,134.927,376.91,1085.53,135.025,362.417,1065.26,122.222,376.991,1122.87,99.7878
370.981,1122.11,134.939,376.896,1085.52,135.028,362.413,1065.23,122.235,377.033,1122.92,99.7835
370.974,1122.09,134.937,376.917,1085.51,135.01,362.419,1065.24,122.222,377.041,1122.92,99.7863
370.962,1122.09,134.952,376.912,1085.5,135.01,362.415,1065.24,122.224,376.991,1122.88,99.8001
370.967,1122.09,134.939,376.909,1085.51,135.018,362.418,1065.25,122.224,376.992,1122.86,99.784
370.969,1122.08,134.936,376.91,1085.51,135.016,362.411,1065.23,122.246,376.982,1122.86,99.7958
370.982,1122.1,134.938,376.905,1085.52,135.019,362.406,1065.25,122.22,376.992,1122.87,99.7926
370.97,1122.08,134.934,376.909,1085.51,135.014,362.409,1065.24,122.227,376.989,1122.86,99.7962
370.968,1122.1,134.949,376.917,1085.5,135.005,362.424,1065.24,122.221,377.151,1122.73,99.7389
370.965,1122.07,134.934,376.916,1085.51,135.014,362.427,1065.24,122.242,377.206,1122.79,99.7532
370.959,1122.08,134.946,376.918,1085.5,135.011,362.412,1065.22,122.238,377.153,1122.73,99.7385
370.959,1122.08,134.935,376.911,1085.5,135.016,362.397,1065.22,122.235,377.164,1122.74,99.7504
370.953,1122.06,134.928,376.904,1085.5,135.017,362.414,1065.24,122.233,377.163,1122.73,99.7437
370.958,1122.08,134.942,376.909,1085.51,135.008,362.414,1065.24,122.239,377.197,1122.78,99.7622
370.969,1122.08,134.938,376.922,1085.49,135.012,362.415,1065.22,122.232,377.148,1122.73,99.742
370.955,1122.07,134.933,376.901,1085.51,135.02,362.412,1065.22,122.242,377.202,1122.78,99.748
370.983,1122.08,134.932,376.906,1085.51,135.025,362.415,1065.24,122.232,377.149,1122.73,99.7432
370.966,1122.07,134.944,376.916,1085.51,135.016,362.408,1065.23,122.224,377.21,1122.76,99.7327
370.958,1122.08,134.948,376.898,1085.49,135.019,362.403,1065.23,122.25,377.151,1122.73,99.7443
370.957,1122.07,134.935,376.908,1085.5,135.025,362.4,1065.23,122.233,376.982,1122.86,99.8004
370.954,1122.07,134.916,376.9,1085.45,134.976,362.397,1065.23,122.232,376.98,1122.85,99.7909
370.933,1122.09,134.956,376.896,1085.5,135.023,362.406,1065.23,122.232,376.985,1122.86,99.7959
370.934,1122.08,134.955,376.879,1085.5,135.026,362.402,1065.23,122.229,377.031,1122.9,99.7791
370.945,1122.08,134.947,376.885,1085.51,135.024,362.39,1065.22,122.233,376.979,1122.87,99.7894
